OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,Labels
6,ONTARIO,ON,1,2020/01/25 12:00:00+00,1,0,0,0,0,0,0,1,1,,,,,0
17,ONTARIO,ON,0,2020/01/26 12:00:00+00,1,0,0,0,0,0,0,1,0,,,,,0
31,ONTARIO,ON,1,2020/01/27 12:00:00+00,2,0,0,0,0,0,0,2,1,,,,,0
43,ONTARIO,ON,0,2020/01/28 12:00:00+00,2,0,0,0,0,0,0,2,0,,,,,0
58,ONTARIO,ON,0,2020/01/29 12:00:00+00,2,0,0,0,0,0,0,2,0,,,,,0
76,ONTARIO,ON,0,2020/01/30 12:00:00+00,2,0,0,0,0,0,0,2,0,,,,,0
89,ONTARIO,ON,1,2020/01/31 12:00:00+00,3,0,0,0,0,0,0,3,1,,,,,0
103,ONTARIO,ON,0,2020/02/01 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
113,ONTARIO,ON,0,2020/02/02 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
128,ONTARIO,ON,0,2020/02/03 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
147,ONTARIO,ON,0,2020/02/04 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
156,ONTARIO,ON,0,2020/02/05 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
174,ONTARIO,ON,0,2020/02/06 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
187,ONTARIO,ON,0,2020/02/07 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
202,ONTARIO,ON,0,2020/02/08 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
215,ONTARIO,ON,0,2020/02/09 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
229,ONTARIO,ON,0,2020/02/10 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
239,ONTARIO,ON,0,2020/02/11 12:00:00+00,3,0,0,0,0,0,0,3,0,,,,,0
254,ONTARIO,ON,0,2020/02/12 12:00:00+00,3,1,1,0,0,0,0,2,0,,,,,0
272,ONTARIO,ON,0,2020/02/13 12:00:00+00,3,1,0,0,0,0,0,2,0,,,,,0
286,ONTARIO,ON,0,2020/02/14 12:00:00+00,3,1,0,0,0,0,0,2,0,,,,,0
300,ONTARIO,ON,0,2020/02/15 12:00:00+00,3,1,0,0,0,0,0,2,0,,,,,0
313,ONTARIO,ON,0,2020/02/16 12:00:00+00,3,1,0,0,0,0,0,2,0,,,,,0
328,ONTARIO,ON,0,2020/02/17 12:00:00+00,3,1,0,0,0,0,0,2,0,,,,,0
341,ONTARIO,ON,0,2020/02/18 12:00:00+00,3,1,0,0,0,0,0,2,0,,,,,0
355,ONTARIO,ON,0,2020/02/19 12:00:00+00,3,1,0,0,0,0,0,2,0,,,,,0
365,ONTARIO,ON,0,2020/02/20 12:00:00+00,3,2,1,0,0,0,0,1,0,,,,,0
379,ONTARIO,ON,0,2020/02/21 12:00:00+00,3,3,1,0,0,0,0,0,0,,,,,0
393,ONTARIO,ON,0,2020/02/22 12:00:00+00,3,3,0,0,0,0,0,0,0,,,,,0
408,ONTARIO,ON,1,2020/02/23 12:00:00+00,4,3,0,0,0,0,0,1,1,,,,,0
427,ONTARIO,ON,0,2020/02/24 12:00:00+00,4,3,0,0,0,0,0,1,0,,,,,0
437,ONTARIO,ON,0,2020/02/25 12:00:00+00,4,3,0,0,0,0,0,1,0,,,,,0
455,ONTARIO,ON,1,2020/02/26 12:00:00+00,5,3,0,0,0,0,0,2,1,,,,,0
469,ONTARIO,ON,1,2020/02/27 12:00:00+00,6,3,0,0,0,0,0,3,1,,,,,0
483,ONTARIO,ON,2,2020/02/28 12:00:00+00,8,3,0,0,0,0,0,5,2,,,,,0
497,ONTARIO,ON,3,2020/02/29 12:00:00+00,11,3,0,0,0,0,0,8,3,,,,,0
511,ONTARIO,ON,4,2020/03/01 12:00:00+00,15,3,0,0,0,0,0,12,4,,,,,0
520,ONTARIO,ON,0,2020/03/02 12:00:00+00,15,3,0,0,0,0,0,12,0,,,,,0
538,ONTARIO,ON,5,2020/03/03 12:00:00+00,20,3,0,0,0,0,0,17,5,,,,,0
551,ONTARIO,ON,0,2020/03/04 12:00:00+00,20,3,0,0,0,0,0,17,0,,,,,0
565,ONTARIO,ON,2,2020/03/05 12:00:00+00,22,4,1,0,0,0,0,18,1,,,,,0
575,ONTARIO,ON,6,2020/03/06 12:00:00+00,28,4,0,0,0,0,0,24,6,,,,,0
595,ONTARIO,ON,0,2020/03/07 12:00:00+00,28,4,0,0,0,0,0,24,0,,,,,0
615,ONTARIO,ON,4,2020/03/08 12:00:00+00,32,4,0,0,0,0,0,28,4,,,,,0
617,ONTARIO,ON,3,2020/03/09 12:00:00+00,35,5,1,0,0,0,0,30,2,,,,,0
635,ONTARIO,ON,2,2020/03/10 12:00:00+00,37,5,0,0,0,0,0,32,2,,,,,0
650,ONTARIO,ON,5,2020/03/11 12:00:00+00,42,5,0,1,1,0,0,36,4,,,,,0
664,ONTARIO,ON,17,2020/03/12 12:00:00+00,59,5,0,1,0,0,0,53,17,,,,,0
679,ONTARIO,ON,20,2020/03/13 12:00:00+00,79,5,0,1,0,0,0,73,20,,,,,0
693,ONTARIO,ON,24,2020/03/14 12:00:00+00,103,5,0,1,0,0,0,97,24,,,,,0
707,ONTARIO,ON,42,2020/03/15 12:00:00+00,145,5,0,1,0,8465,8465,139,42,,,,,0
721,ONTARIO,ON,32,2020/03/16 12:00:00+00,177,5,0,1,0,10178,1713,171,32,,,,,1
735,ONTARIO,ON,12,2020/03/17 12:00:00+00,189,5,0,1,0,11171,993,183,12,,,,,1
743,ONTARIO,ON,25,2020/03/18 12:00:00+00,214,5,0,1,0,13897,2726,208,25,,,,,1
763,ONTARIO,ON,44,2020/03/19 12:00:00+00,258,5,0,2,1,16650,2753,251,43,,,,,1
771,ONTARIO,ON,60,2020/03/20 12:00:00+00,318,5,0,2,0,19511,2861,311,60,,,,,1
786,ONTARIO,ON,59,2020/03/21 12:00:00+00,377,6,1,3,1,23384,3873,368,57,,,,,1
805,ONTARIO,ON,48,2020/03/22 12:00:00+00,425,8,2,6,3,26420,3036,411,43,,,,,1
814,ONTARIO,ON,78,2020/03/23 12:00:00+00,503,8,0,6,0,28506,2086,489,78,,,,,1
832,ONTARIO,ON,85,2020/03/24 12:00:00+00,588,8,0,8,2,32457,3951,572,83,,,,,1
845,ONTARIO,ON,100,2020/03/25 12:00:00+00,688,8,0,13,5,35635,3178,667,95,,,,,0
860,ONTARIO,ON,170,2020/03/26 12:00:00+00,858,8,0,15,2,38550,2915,835,168,,,,,0
873,ONTARIO,ON,135,2020/03/27 12:00:00+00,993,8,0,18,3,41032,2482,967,132,,,,,0
887,ONTARIO,ON,151,2020/03/28 12:00:00+00,1144,8,0,18,0,43072,2040,1117,150,,,,,2
897,ONTARIO,ON,211,2020/03/29 12:00:00+00,1355,8,0,19,1,49186,3057,1324,207,,,,,2
912,ONTARIO,ON,351,2020/03/30 12:00:00+00,1706,431,423,33,14,49186,3057,1241,-83,,,,,2
930,ONTARIO,ON,260,2020/03/31 12:00:00+00,1966,534,103,33,0,51629,2443,1374,133,,,,,2
943,ONTARIO,ON,426,2020/04/01 12:00:00+00,2392,689,155,37,4,57874,6245,2091,717,,,,,2
957,ONTARIO,ON,401,2020/04/02 12:00:00+00,2793,831,142,53,16,62733,4859,2372,281,,,,,2
967,ONTARIO,ON,462,2020/04/03 12:00:00+00,3255,1023,192,67,14,66753,4020,2560,188,,,,,2
982,ONTARIO,ON,375,2020/04/04 12:00:00+00,3630,1219,196,94,27,71338,4585,2669,109,,,,,2
1000,ONTARIO,ON,408,2020/04/05 12:00:00+00,4038,1449,230,119,25,75046,3708,2851,182,,,,,2
1013,ONTARIO,ON,309,2020/04/06 12:00:00+00,4347,1624,175,132,13,78796,3750,3061,210,,,,,2
1027,ONTARIO,ON,379,2020/04/07 12:00:00+00,4726,1802,178,153,21,81364,2568,3404,343,,,,,2
1042,ONTARIO,ON,550,2020/04/08 12:00:00+00,5276,2074,272,174,21,84601,3237,3557,153,,,,,2
1062,ONTARIO,ON,483,2020/04/09 12:00:00+00,5759,2305,231,200,26,88698,4097,3254,263,632,632,478,478,2
1104,ONTARIO,ON,478,2020/04/10 12:00:00+00,6237,2574,269,222,22,94271,5573,3441,187,673,41,477,-1,2
1118,ONTARIO,ON,411,2020/04/11 12:00:00+00,6648,2858,284,253,31,96321,2050,3537,96,691,18,472,-5,2
1132,ONTARIO,ON,401,2020/04/12 12:00:00+00,7049,3121,263,274,21,103165,6844,3654,117,738,47,457,-15,2
1160,ONTARIO,ON,421,2020/04/13 12:00:00+00,7470,3357,236,291,17,108230,5065,3822,168,760,22,466,9,2
1174,ONTARIO,ON,483,2020/04/14 12:00:00+00,7953,3568,211,334,43,113082,4852,4051,229,769,9,255,-211,2
1269,ONTARIO,ON,494,2020/04/15 12:00:00+00,8447,3902,334,385,51,119029,5947,4160,109,795,26,254,-1,2
1284,ONTARIO,ON,514,2020/04/16 12:00:00+00,8961,4194,292,423,38,128093,9064,4344,184,807,12,248,-6,2
1299,ONTARIO,ON,564,2020/04/17 12:00:00+00,9525,4556,362,478,55,136992,8899,4491,147,829,22,245,-3,2
1314,ONTARIO,ON,485,2020/04/18 12:00:00+00,10010,4875,319,514,36,146454,9462,4621,130,828,-1,250,5,2
1329,ONTARIO,ON,568,2020/04/19 12:00:00+00,10578,5209,334,553,39,156097,9643,4816,195,809,-19,247,-3,2
1359,ONTARIO,ON,606,2020/04/20 12:00:00+00,11184,5515,306,584,31,164840,8743,5085,269,802,-7,247,0,2
1374,ONTARIO,ON,551,2020/04/21 12:00:00+00,11735,5806,291,622,38,174170,9330,5307,222,859,57,250,3,2
1389,ONTARIO,ON,510,2020/04/22 12:00:00+00,12245,6221,415,659,37,184531,10361,5365,58,878,19,243,-7,2
1404,ONTARIO,ON,634,2020/04/23 12:00:00+00,12879,6680,459,713,54,194745,10214,5486,121,887,9,233,-10,2
1419,ONTARIO,ON,640,2020/04/24 12:00:00+00,13519,7087,407,763,50,207040,12295,5669,183,910,23,243,10,2
1434,ONTARIO,ON,476,2020/04/25 12:00:00+00,13995,7509,422,811,48,217618,10578,5675,6,925,15,245,2,2
1449,ONTARIO,ON,437,2020/04/26 12:00:00+00,14432,8000,491,835,24,229638,12020,5597,-78,938,13,252,7,2
1464,ONTARIO,ON,424,2020/04/27 12:00:00+00,14856,8525,525,892,57,242188,12550,5439,-158,945,7,241,-11,2
1479,ONTARIO,ON,525,2020/04/28 12:00:00+00,15381,8964,439,951,59,253040,10852,5466,27,957,12,239,-2,2
1494,ONTARIO,ON,347,2020/04/29 12:00:00+00,15728,9612,648,996,45,264594,11554,5120,-346,977,20,235,-4,2
1509,ONTARIO,ON,459,2020/04/30 12:00:00+00,16187,10205,593,1082,86,277522,12928,4900,-220,999,22,233,-2,2
1524,ONTARIO,ON,421,2020/05/01 12:00:00+00,16608,10825,620,1121,39,294054,16532,4662,-238,1017,18,225,-8,2
1539,ONTARIO,ON,511,2020/05/02 12:00:00+00,17119,11390,565,1176,55,310359,16305,4553,-109,977,-40,221,-4,2
1554,ONTARIO,ON,434,2020/05/03 12:00:00+00,17553,12005,615,1216,40,327505,17146,4332,-221,1010,33,232,11,2
1569,ONTARIO,ON,370,2020/05/04 12:00:00+00,17923,12505,500,1300,84,342060,14555,4118,-214,984,-26,225,-7,2
1628,ONTARIO,ON,387,2020/05/05 12:00:00+00,18310,12779,274,1361,61,352714,10654,4170,52,1043,59,223,-2,2
1643,ONTARIO,ON,412,2020/05/06 12:00:00+00,18722,13222,443,1429,68,365675,12961,4071,-99,1032,-11,219,-4,2
1658,ONTARIO,ON,399,2020/05/07 12:00:00+00,19121,13569,347,1477,48,380854,15179,4075,4,1033,1,220,1,2
1673,ONTARIO,ON,477,2020/05/08 12:00:00+00,19598,13990,421,1540,63,397149,16295,4068,-7,1028,-5,213,-7,2
1688,ONTARIO,ON,346,2020/05/09 12:00:00+00,19944,14383,393,1599,59,416376,19227,3962,-106,1016,-12,203,-10,2
1703,ONTARIO,ON,294,2020/05/10 12:00:00+00,20238,14772,389,1634,35,433994,17618,3832,-130,961,-55,195,-8,2
1718,ONTARIO,ON,308,2020/05/11 12:00:00+00,20546,15131,359,1669,35,447964,13970,3746,-86,1027,66,194,-1,2
1733,ONTARIO,ON,361,2020/05/12 12:00:00+00,20907,15391,260,1725,56,459921,11957,3791,45,1025,-2,192,-2,2
1748,ONTARIO,ON,329,2020/05/13 12:00:00+00,21236,15845,454,1765,40,475058,15137,3626,-165,1018,-7,189,-3,2
1763,ONTARIO,ON,258,2020/05/14 12:00:00+00,21494,16204,359,1798,33,492487,17429,3492,-134,1026,8,184,-5,2
1778,ONTARIO,ON,428,2020/05/15 12:00:00+00,21922,16641,437,1825,27,510841,18354,3456,-36,986,-40,179,-5,2
1793,ONTARIO,ON,391,2020/05/16 12:00:00+00,22313,17020,379,1858,33,528609,17768,3435,-21,975,-11,180,1,2
1808,ONTARIO,ON,340,2020/05/17 12:00:00+00,22653,17360,340,1881,23,544826,16217,3412,-23,934,-41,171,-9,2
1823,ONTARIO,ON,304,2020/05/18 12:00:00+00,22957,17638,278,1904,23,553981,9155,3415,3,972,38,174,3,2
1853,ONTARIO,ON,427,2020/05/19 12:00:00+00,23384,17898,260,1919,15,559794,5813,3567,152,987,15,167,-7,2
1868,ONTARIO,ON,390,2020/05/20 12:00:00+00,23774,18190,292,1962,43,567176,7382,3622,55,991,4,160,-7,3
1883,ONTARIO,ON,413,2020/05/21 12:00:00+00,24187,18509,319,1993,31,577682,10506,3745,123,984,-7,155,-5,3
1898,ONTARIO,ON,441,2020/05/22 12:00:00+00,24628,18767,258,2021,28,588958,11276,3840,155,961,-23,153,-2,3
1913,ONTARIO,ON,412,2020/05/23 12:00:00+00,25040,19146,379,2048,27,599986,11028,3846,6,912,-49,147,-6,3
1928,ONTARIO,ON,460,2020/05/24 12:00:00+00,25500,19477,331,2073,25,611369,11383,3950,104,878,-34,148,1,3
1943,ONTARIO,ON,404,2020/05/25 12:00:00+00,25904,19698,221,2102,29,619539,8170,4104,154,859,-19,148,0,3
1958,ONTARIO,ON,287,2020/05/26 12:00:00+00,26191,19958,260,2123,21,629414,9875,4110,6,848,-11,143,-5,3
1973,ONTARIO,ON,292,2020/05/27 12:00:00+00,26483,20372,414,2155,32,644547,15133,3956,-154,847,-1,150,7,3
1988,ONTARIO,ON,383,2020/05/28 12:00:00+00,26866,20673,301,2189,34,662162,17615,4004,48,833,-14,137,-13,3
2003,ONTARIO,ON,344,2020/05/29 12:00:00+00,27210,20983,310,2230,41,680687,18525,3997,-7,826,-7,129,-8,3
2018,ONTARIO,ON,323,2020/05/30 12:00:00+00,27533,21353,370,2247,17,701327,20640,3933,-64,801,-25,121,-8,3
2033,ONTARIO,ON,326,2020/05/31 12:00:00+00,27859,21810,457,2266,19,718341,17014,3783,-150,781,-20,118,-3,3
2048,ONTARIO,ON,404,2020/06/01 12:00:00+00,28263,22153,343,2276,10,732720,14379,3834,51,781,0,118,0,3
2063,ONTARIO,ON,446,2020/06/02 12:00:00+00,28709,22484,331,2293,17,747964,15244,3932,98,801,20,125,7,3
2078,ONTARIO,ON,338,2020/06/03 12:00:00+00,29047,22811,327,2312,19,765501,17537,3924,-8,791,-10,127,2,3
2093,ONTARIO,ON,356,2020/06/04 12:00:00+00,29403,23208,397,2357,45,786323,20822,3838,-86,776,-15,121,-6,3
2108,ONTARIO,ON,344,2020/06/05 12:00:00+00,29747,23583,375,2372,15,809053,22730,3792,-46,749,-27,118,-3,3
2123,ONTARIO,ON,455,2020/06/06 12:00:00+00,30202,23947,364,2407,35,832158,23105,3848,56,673,-76,117,-1,3
2138,ONTARIO,ON,415,2020/06/07 12:00:00+00,30617,24252,305,2426,19,851532,19374,3939,91,635,-38,117,0,3
2153,ONTARIO,ON,243,2020/06/08 12:00:00+00,30860,24492,240,2450,24,866889,15357,3918,-21,603,-32,118,1,3
2168,ONTARIO,ON,230,2020/06/09 12:00:00+00,31090,24829,337,2464,14,880398,13509,3797,-121,600,-3,116,-2,3
2183,ONTARIO,ON,251,2020/06/10 12:00:00+00,31341,25380,551,2475,11,900339,19941,3486,-311,580,-20,118,2,3
2198,ONTARIO,ON,203,2020/06/11 12:00:00+00,31544,25885,505,2487,12,924860,24521,3172,-314,538,-42,120,2,3
2213,ONTARIO,ON,182,2020/06/12 12:00:00+00,31726,26187,302,2498,11,953015,28155,3041,-131,527,-11,114,-6,3
2243,ONTARIO,ON,266,2020/06/13 12:00:00+00,31992,26538,351,2507,9,980471,27456,2947,-94,489,-38,110,-4,3
2258,ONTARIO,ON,197,2020/06/14 12:00:00+00,32189,26961,423,2519,12,1003749,23278,2709,-238,438,-51,103,-7,3
2273,ONTARIO,ON,181,2020/06/15 12:00:00+00,32370,27213,252,2527,8,1025500,21751,2630,-79,419,-19,104,1,3
2288,ONTARIO,ON,184,2020/06/16 12:00:00+00,32554,27431,218,2538,11,1047224,21724,2585,-45,413,-6,98,-6,3
2303,ONTARIO,ON,190,2020/06/17 12:00:00+00,32744,27784,353,2550,12,1071429,24205,2410,-175,383,-30,92,-6,3
2318,ONTARIO,ON,173,2020/06/18 12:00:00+00,32917,28004,220,2553,3,1096707,25278,2360,-50,351,-32,84,-8,4
2333,ONTARIO,ON,178,2020/06/19 12:00:00+00,33095,28250,246,2564,11,1123932,27225,2281,-79,331,-20,82,-2,4
2348,ONTARIO,ON,206,2020/06/20 12:00:00+00,33301,28468,218,2595,31,1151319,27387,2238,-43,333,2,80,-2,4
2363,ONTARIO,ON,175,2020/06/21 12:00:00+00,33476,28719,251,2606,11,1174727,23408,2151,-87,286,-47,86,6,4
2378,ONTARIO,ON,161,2020/06/22 12:00:00+00,33637,28933,214,2609,3,1196627,21900,2095,-56,265,-21,76,-10,4
2393,ONTARIO,ON,216,2020/06/23 12:00:00+00,33853,29107,174,2619,10,1212816,16189,2127,32,288,23,75,-1,4
2408,ONTARIO,ON,163,2020/06/24 12:00:00+00,34016,29336,229,2631,12,1236023,23207,2049,-78,278,-10,73,-2,4
2423,ONTARIO,ON,189,2020/06/25 12:00:00+00,34205,29528,192,2641,10,1263534,27511,2036,-13,270,-8,69,-4,4
2438,ONTARIO,ON,111,2020/06/26 12:00:00+00,34316,29754,226,2644,3,1294314,30780,1918,-118,256,-14,61,-8,4
2453,ONTARIO,ON,160,2020/06/27 12:00:00+00,34476,29932,178,2652,8,1327806,33492,1892,-26,252,-4,54,-7,4
2468,ONTARIO,ON,178,2020/06/28 12:00:00+00,34654,30107,175,2658,6,1356439,28633,1889,-3,214,-38,51,-3,4
2483,ONTARIO,ON,257,2020/06/29 12:00:00+00,34911,30196,89,2665,7,1383566,27127,2050,161,232,18,46,-5,4
2498,ONTARIO,ON,157,2020/06/30 12:00:00+00,35068,30344,148,2672,7,1407325,23759,2052,2,213,-19,42,-4,4
2513,ONTARIO,ON,149,2020/07/01 12:00:00+00,35217,30526,182,2672,0,1407325,0,2052,0,213,0,42,0,4
2528,ONTARIO,ON,153,2020/07/02 12:00:00+00,35370,30730,204,2680,8,1457703,50378,1960,-92,119,-94,40,-2,4
2558,ONTARIO,ON,165,2020/07/03 12:00:00+00,35535,30909,179,2682,2,1481897,24194,1944,-16,155,36,40,0,4
2573,ONTARIO,ON,121,2020/07/04 12:00:00+00,35656,31083,174,2687,5,1503322,21425,1886,-58,150,-5,39,-1,4
2618,ONTARIO,ON,138,2020/07/05 12:00:00+00,35794,31266,183,2689,2,1527114,23792,1839,-47,139,-11,39,0,4
2633,ONTARIO,ON,154,2020/07/06 12:00:00+00,35948,31426,160,2689,0,1544417,17303,1833,-6,118,-21,36,-3,4
2648,ONTARIO,ON,112,2020/07/07 12:00:00+00,36060,31603,177,2691,2,1559529,15112,1766,-67,131,13,34,-2,4
